utt000000	幫您轉接給 Rita 邱先生,他的分機是 1399。
utt008475	Steve 李協理 請您回電,電話是 0916-291-659。
utt008476	Sophia 洪課長 請您回電,電話是 03-6456-5835。
utt008477	Peter 的 QR Code 已經準備好,請到 5 樓領取。
utt008478	Kelly 吳襄理 現在不在位子上,需要幫您留言嗎?
utt008479	謝謝您的來電,祝您有美好的一天,再見。
utt008480	我們已經把 CRM 系統 寄到您的信箱,請查收。
utt008481	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt008482	您的快遞單號是 2474976434,預計明天送達。
utt008483	幫您轉接給 Henry 鄭副理,他的分機是 119。
utt008484	您的Server 主機設定已完成,如有問題請撥分機 913。
utt008485	Michael 郭工程師 現在不在位子上,需要幫您留言嗎?
utt008486	關於您的 CRM 系統 問題,我幫您轉到行銷部。
utt008487	系統顯示您的 Teams 會議 帳號需要更新,請聯絡客服部。
utt008488	謝謝您的來電,祝您有美好的一天,再見。
utt008489	幫您轉接給 Emily 郭主任,他的分機是 163。
utt008490	Daniel 目前正在開會,大約 10 分鐘後回來。
utt008491	您撥的分機 7695 忙線中,請稍後再撥。
utt008492	您的快遞單號是 7627764020,預計明天送達。
utt008493	Kevin 目前正在開會,大約 25 分鐘後回來。
utt008494	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt008495	您好,請問要預約 Amy 經理 的時間嗎?
utt008496	這是 佳世達 的語音信箱,請在嗶聲後留言。
utt008497	幫您轉接給 Charlie 邱經理,請稍候。
utt008498	幫您轉接給 Michael 吳課長,請稍候。
utt008499	幫您轉接給 Jerry 鄭副理,請稍候。
utt008500	關於您的 ERP 系統 問題,我幫您轉到行銷部。
utt008501	系統顯示您的 AI 語音助理 帳號需要更新,請聯絡技術部。
utt008502	請問您要找哪一位?是 Jerry 還是 Helen?
utt008503	請問您要找哪一位?是 Daniel 還是 Sophia?
utt008504	關於您的 VPN 問題,我幫您轉到總務部。
utt008505	不好意思,Henry 剛離開,請問要留言給許先生嗎?
utt008506	您撥的分機 386 忙線中,請稍後再撥。
utt008507	請問您要找哪一位?是 Catherine 還是 Karen?
utt008508	這是 佳世達 的語音信箱,請在嗶聲後留言。
utt008509	Tony 的 Wi-Fi 已經準備好,請到 9 樓領取。
utt008510	您的快遞單號是 4646334503,預計明天送達。
utt008511	幫您轉接給 Peter 洪小姐,他的分機是 9403。
utt008512	關於您的 USB 問題,我幫您轉到財務部。
utt008513	謝謝您的來電,祝您有美好的一天,再見。
utt008514	您好,請問要預約 Steve 副理 的時間嗎?
utt008515	系統顯示您的 VPN 帳號需要更新,請聯絡資訊部。
utt008516	我們已經把 OTP 驗證碼 寄到您的信箱,請查收。
utt008517	請問您要找哪一位?是 Charlie 還是 Tina?
utt008518	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt008519	今天的會議改到下午 1 點,地點在 7 樓會議室。
utt008520	我們已經把 email 寄到您的信箱,請查收。
utt008521	請問您的訂單編號是?方便提供一下嗎?編號是 151690。
utt008522	麻煩您撥打 0942-157-691 聯絡 Jack 葉專員,謝謝。
utt008523	您好,行銷部的 Nancy 劉業務 為您服務。
utt008524	您的SSD 硬碟設定已完成,如有問題請撥分機 7355。
utt008525	幫您轉接給 Daniel 吳專員,他的分機是 876。
utt008526	Oscar 蘇主任 請您回電,電話是 0944-957-697。
utt008527	您好,請問要預約 Jason 顧問 的時間嗎?
utt008528	這是 台灣精密 的語音信箱,請在嗶聲後留言。
utt008529	請問您是要報修 Zoom 連結 還是 Outlook?
utt008530	我們已經把 Line 群組 寄到您的信箱,請查收。
utt008531	您的快遞單號是 8269338417,預計明天送達。
utt008532	您的快遞單號是 4047658813,預計明天送達。
utt008533	麻煩您撥打 0988-400-799 聯絡 Kelly 葉協理,謝謝。
utt008534	這是 聯華實業 的語音信箱,請在嗶聲後留言。
utt008535	您的Wi-Fi設定已完成,如有問題請撥分機 606。
utt008536	麻煩您撥打 04-9645-4402 聯絡 Jack 曾課長,謝謝。
utt008537	Ivy 目前正在開會,大約 19 分鐘後回來。
utt008538	您撥的分機 299 忙線中,請稍後再撥。
utt008539	幫您轉接給 Linda 黃小姐,請稍候。
utt008540	不好意思,Sam 剛離開,請問要留言給呂課長嗎?
utt008541	Henry 目前正在開會,大約 15 分鐘後回來。
utt008542	請問您是要報修 AI 語音助理 還是 Wi-Fi?
utt008543	請問您是要報修 Teams 會議 還是 SSD 硬碟?
utt008544	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt008545	不好意思,Nancy 剛離開,請問要留言給謝襄理嗎?
utt008546	幫您轉接給 Amy 葉助理,請稍候。
utt008547	Peter 劉經理 現在不在位子上,需要幫您留言嗎?
utt008548	您好,這裡是全球科技,很高興為您服務。
utt008549	今天的會議改到下午 1 點,地點在 6 樓會議室。
utt008550	您的VPN設定已完成,如有問題請撥分機 660。
utt008551	您的PDF 報價單設定已完成,如有問題請撥分機 3689。
utt008552	麻煩您撥打 07-8492-1804 聯絡 Tina 葉副理,謝謝。
utt008553	請問是 Jason 先生嗎?邱業務要找您。
utt008554	您好,請問要預約 Kelly 小姐 的時間嗎?
utt008555	您好,法務部的 Rita 王組長 為您服務。
utt008556	這是 台灣精密 的語音信箱,請在嗶聲後留言。
utt008557	Victor 陳組長 請您回電,電話是 0978-347-484。
utt008558	您好,請問要預約 Oscar 組長 的時間嗎?
utt008559	您好,請問要預約 Jack 業務 的時間嗎?
utt008560	幫您轉接給 Eric 莊助理,他的分機是 043。
utt008561	您的Wi-Fi設定已完成,如有問題請撥分機 854。
utt008562	Jerry 葉業務 請您回電,電話是 0927-457-991。
utt008563	您好,法務部的 Tina 呂小姐 為您服務。
utt008564	請問您要找哪一位?是 Tina 還是 Nancy?
utt008565	您的USB設定已完成,如有問題請撥分機 116。
utt008566	您好,請問要預約 Tony 主任 的時間嗎?
utt008567	謝謝您的來電,祝您有美好的一天,再見。
utt008568	幫您轉接給 Jason 張顧問,他的分機是 667。
utt008569	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt008570	Jerry 謝先生 現在不在位子上,需要幫您留言嗎?
utt008571	Alex 的 USB 已經準備好,請到 7 樓領取。
utt008572	幫您轉接給 Andy 李先生,請稍候。
utt008573	您的API 介面設定已完成,如有問題請撥分機 645。
utt008574	幫您轉接給 Kevin 賴顧問,請稍候。
utt008575	您撥的分機 276 忙線中,請稍後再撥。
utt008576	Jack 目前正在開會,大約 18 分鐘後回來。
utt008577	Ivy 莊經理 請您回電,電話是 0915-727-964。
utt008578	您好,客服部的 Daniel 謝助理 為您服務。
utt008579	您的快遞單號是 1515202107,預計明天送達。
utt008580	您好,請問要預約 Victor 副理 的時間嗎?
utt008581	Peter 莊副理 現在不在位子上,需要幫您留言嗎?
utt008582	麻煩您撥打 0921-201-326 聯絡 Sam 邱先生,謝謝。
utt008583	您好,請問要預約 Nancy 副理 的時間嗎?
utt008584	幫您轉接給 Sophia 郭經理,請稍候。
utt008585	今天的會議改到下午 3 點,地點在 16 樓會議室。
utt008586	您好,請問要預約 Alex 協理 的時間嗎?
utt008587	您好,這裡是鼎新資訊,很高興為您服務。
utt008588	您撥的分機 890 忙線中,請稍後再撥。
utt008589	Karen 廖小姐 請您回電,電話是 02-3845-7159。
utt008590	麻煩您撥打 08-9051-6451 聯絡 Tina 陳工程師,謝謝。
utt008591	幫您轉接給 Jason 葉小姐,請稍候。
utt008592	請問您的訂單編號是?方便提供一下嗎?編號是 495915。
utt008593	幫您轉接給 Helen 邱協理,他的分機是 984。
utt008594	麻煩您撥打 0975-901-173 聯絡 Oscar 曾小姐,謝謝。
utt008595	您好,這裡是宏達電子,很高興為您服務。
utt008596	您好,請問要預約 Emily 顧問 的時間嗎?
utt008597	您的快遞單號是 6290304427,預計明天送達。
utt008598	您好,請問要預約 Tony 襄理 的時間嗎?
utt008599	您好,這裡是凌華科技,很高興為您服務。
utt008600	您好,請問要預約 Frank 小姐 的時間嗎?
utt008601	系統顯示您的 USB 帳號需要更新,請聯絡資訊部。
utt008602	謝謝您的來電,祝您有美好的一天,再見。
utt008603	您的Line 群組設定已完成,如有問題請撥分機 560。
utt008604	Jason 目前正在開會,大約 25 分鐘後回來。
utt008605	您好,研發部的 Betty 蘇課長 為您服務。
utt008606	這是 凌華科技 的語音信箱,請在嗶聲後留言。
utt008607	不好意思,Victor 剛離開,請問要留言給張襄理嗎?
utt008608	麻煩您撥打 0954-721-353 聯絡 Brian 賴先生,謝謝。
utt008609	幫您轉接給 Jack 楊專員,他的分機是 109。
utt008610	請問您是要報修 USB 還是 QR Code?
utt008611	幫您轉接給 Tina 廖業務,他的分機是 227。
utt008612	Amy 陳顧問 現在不在位子上,需要幫您留言嗎?
utt008613	Karen 目前正在開會,大約 13 分鐘後回來。
utt008614	不好意思,Rita 剛離開,請問要留言給曾主任嗎?
utt008615	幫您轉接給 Henry 洪副理,他的分機是 851。
utt008616	這是 台灣精密 的語音信箱,請在嗶聲後留言。
utt008617	今天的會議改到下午 1 點,地點在 15 樓會議室。
utt008618	Andy 目前正在開會,大約 18 分鐘後回來。
utt008619	不好意思,Michael 剛離開,請問要留言給楊專員嗎?
utt008620	今天的會議改到下午 2 點,地點在 18 樓會議室。
utt008621	關於您的 CRM 系統 問題,我幫您轉到研發部。
utt008622	不好意思,Joyce 剛離開,請問要留言給蘇助理嗎?
utt008623	Grace 賴協理 現在不在位子上,需要幫您留言嗎?
utt008624	系統顯示您的 Line 群組 帳號需要更新,請聯絡總務部。
utt008625	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt008626	系統顯示您的 VPN 帳號需要更新,請聯絡技術部。
utt008627	今天的會議改到下午 5 點,地點在 3 樓會議室。
utt008628	幫您轉接給 Charlie 謝課長,他的分機是 562。
utt008629	系統顯示您的 USB 帳號需要更新,請聯絡客服部。
utt008630	請問您的訂單編號是?方便提供一下嗎?編號是 516698。
utt008631	幫您轉接給 Oscar 李業務,請稍候。
utt008632	請問您的訂單編號是?方便提供一下嗎?編號是 557552。
utt008633	麻煩您撥打 07-8300-7858 聯絡 Tina 張協理,謝謝。
utt008634	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt008635	您撥的分機 0489 忙線中,請稍後再撥。
utt008636	今天的會議改到下午 5 點,地點在 15 樓會議室。
utt008637	Betty 莊助理 現在不在位子上,需要幫您留言嗎?
utt008638	您撥的分機 307 忙線中,請稍後再撥。
utt008639	Brian 周小姐 請您回電,電話是 05-3748-3978。
utt008640	不好意思,Ivy 剛離開,請問要留言給曾工程師嗎?
utt008641	不好意思,Betty 剛離開,請問要留言給劉小姐嗎?
utt008642	請問是 Sophia 先生嗎?張先生要找您。
utt008643	請問是 Sam 先生嗎?黃襄理要找您。
utt008644	請問是 Catherine 先生嗎?李小姐要找您。
utt008645	請問您是要報修 CRM 系統 還是 QR Code?
utt008646	您撥的分機 762 忙線中,請稍後再撥。
utt008647	幫您轉接給 Ivy 洪協理,請稍候。
utt008648	Tina 的 Outlook 已經準備好,請到 9 樓領取。
utt008649	麻煩您撥打 05-5096-8659 聯絡 Henry 賴協理,謝謝。
utt008650	我們已經把 Excel 報表 寄到您的信箱,請查收。
utt008651	您撥的分機 0426 忙線中,請稍後再撥。
utt008652	您好,採購部的 Peter 呂先生 為您服務。
utt008653	您撥的分機 570 忙線中,請稍後再撥。
utt008654	幫您轉接給 Helen 林工程師,請稍候。
utt008655	幫您轉接給 Sophia 林組長,請稍候。
utt008656	請問您的訂單編號是?方便提供一下嗎?編號是 760389。
utt008657	您撥的分機 0144 忙線中,請稍後再撥。
utt008658	Tina 陳主任 現在不在位子上,需要幫您留言嗎?
utt008659	系統顯示您的 QR Code 帳號需要更新,請聯絡客服部。
utt008660	您好,這裡是中華電信商辦,很高興為您服務。
utt008661	您的QR Code設定已完成,如有問題請撥分機 9503。
utt008662	Joyce 目前正在開會,大約 7 分鐘後回來。
utt008663	請問是 Karen 先生嗎?李助理要找您。
utt008664	謝謝您的來電,祝您有美好的一天,再見。
utt008665	關於您的 CRM 系統 問題,我幫您轉到業務部。
utt008666	Vivian 鄭襄理 請您回電,電話是 0978-204-852。
utt008667	您撥的分機 1512 忙線中,請稍後再撥。
utt008668	您的快遞單號是 1837454869,預計明天送達。
utt008669	您撥的分機 9348 忙線中,請稍後再撥。
utt008670	Frank 謝小姐 請您回電,電話是 02-6161-8026。
utt008671	您好,這裡是宏達電子,很高興為您服務。
utt008672	Cindy 的 OTP 驗證碼 已經準備好,請到 4 樓領取。
utt008673	我們已經把 USB 寄到您的信箱,請查收。
utt008674	Eric 的 AI 語音助理 已經準備好,請到 11 樓領取。
utt008675	Ivy 賴組長 請您回電,電話是 0978-584-993。
utt008676	您撥的分機 158 忙線中,請稍後再撥。
utt008677	Victor 蘇業務 請您回電,電話是 0962-646-722。
utt008678	Cindy 的 PDF 報價單 已經準備好,請到 11 樓領取。
utt008679	您好,請問要預約 Charlie 小姐 的時間嗎?
utt008680	您撥的分機 719 忙線中,請稍後再撥。
utt008681	Jerry 黃課長 現在不在位子上,需要幫您留言嗎?
utt008682	Eric 的 Outlook 已經準備好,請到 6 樓領取。
utt008683	關於您的 CRM 系統 問題,我幫您轉到法務部。
utt008684	Frank 陳先生 請您回電,電話是 08-3479-6574。
utt008685	您好,業務部的 Kevin 蘇課長 為您服務。
utt008686	不好意思,David 剛離開,請問要留言給林助理嗎?
utt008687	謝謝您的來電,祝您有美好的一天,再見。
utt008688	您好,採購部的 David 劉小姐 為您服務。
utt008689	您好,技術部的 Rita 林業務 為您服務。
utt008690	請問是 Daniel 先生嗎?鄭課長要找您。
utt008691	幫您轉接給 Sandra 黃業務,他的分機是 412。
utt008692	請問您是要報修 Outlook 還是 API 介面?
utt008693	請問您是要報修 Wi-Fi 還是 Outlook?
utt008694	請問您的訂單編號是?方便提供一下嗎?編號是 531950。
utt008695	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt008696	系統顯示您的 Zoom 連結 帳號需要更新,請聯絡人資部。
utt008697	我們已經把 CRM 系統 寄到您的信箱,請查收。
utt008698	請問您是要報修 Teams 會議 還是 ERP 系統?
utt008699	幫您轉接給 Charlie 劉課長,請稍候。
utt008700	您好,請問要預約 Ivy 專員 的時間嗎?
utt008701	您好,這裡是全球科技,很高興為您服務。
utt008702	請問您要找哪一位?是 Ivy 還是 Nancy?
utt008703	Grace 目前正在開會,大約 40 分鐘後回來。
utt008704	請問是 Victor 先生嗎?呂先生要找您。
utt008705	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt008706	請問您的訂單編號是?方便提供一下嗎?編號是 549389。
utt008707	系統顯示您的 OTP 驗證碼 帳號需要更新,請聯絡總務部。
utt008708	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt008709	關於您的 Server 主機 問題,我幫您轉到資訊部。
utt008710	幫您轉接給 Alex 陳先生,請稍候。
utt008711	您好,品保部的 Alex 謝副理 為您服務。
utt008712	這是 佳世達 的語音信箱,請在嗶聲後留言。
utt008713	幫您轉接給 Kevin 李副理,他的分機是 0583。
utt008714	不好意思,Kevin 剛離開,請問要留言給吳小姐嗎?
utt008715	您的Teams 會議設定已完成,如有問題請撥分機 483。
utt008716	您好,財務部的 Peter 洪專員 為您服務。
utt008717	今天的會議改到下午 4 點,地點在 16 樓會議室。
utt008718	您的快遞單號是 6662826113,預計明天送達。
utt008719	Daniel 黃襄理 請您回電,電話是 0940-927-273。
utt008720	我們已經把 CRM 系統 寄到您的信箱,請查收。
utt008721	請問是 Frank 先生嗎?林專員要找您。
utt008722	謝謝您的來電,祝您有美好的一天,再見。
utt008723	您好,這裡是台灣精密,很高興為您服務。
utt008724	關於您的 CRM 系統 問題,我幫您轉到業務部。
utt008725	幫您轉接給 Sam 周主任,他的分機是 629。
utt008726	您撥的分機 167 忙線中,請稍後再撥。
utt008727	Amy 目前正在開會,大約 38 分鐘後回來。
utt008728	關於您的 Server 主機 問題,我幫您轉到行銷部。
utt008729	這是 宏達電子 的語音信箱,請在嗶聲後留言。
utt008730	您撥的分機 1640 忙線中,請稍後再撥。
utt008731	請問您是要報修 QR Code 還是 OTP 驗證碼?
utt008732	請問您要找哪一位?是 Betty 還是 Peter?
utt008733	Oscar 目前正在開會,大約 40 分鐘後回來。
utt008734	您的快遞單號是 1061588894,預計明天送達。
utt008735	您的快遞單號是 5477051889,預計明天送達。
utt008736	我們已經把 OTP 驗證碼 寄到您的信箱,請查收。
utt008737	您的快遞單號是 3208974397,預計明天送達。
utt008738	我們已經把 Server 主機 寄到您的信箱,請查收。
utt008739	您好,品保部的 Henry 莊顧問 為您服務。
utt008740	請問您是要報修 Server 主機 還是 email?
utt008741	您好,客服部的 Wendy 曾組長 為您服務。
utt008742	您撥的分機 612 忙線中,請稍後再撥。
utt008743	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt008744	您好,請問要預約 Sam 顧問 的時間嗎?
utt008745	Tina 葉工程師 請您回電,電話是 03-9534-3549。
utt008746	您好,這裡是鼎新資訊,很高興為您服務。
utt008747	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt008748	幫您轉接給 Nancy 蔡先生,他的分機是 1632。
utt008749	您好,客服部的 Brian 周工程師 為您服務。
utt008750	您好,人資部的 Tina 郭襄理 為您服務。
utt008751	不好意思,Ivy 剛離開,請問要留言給謝主任嗎?
utt008752	請問您的訂單編號是?方便提供一下嗎?編號是 427840。
utt008753	您撥的分機 9963 忙線中,請稍後再撥。
utt008754	您的Teams 會議設定已完成,如有問題請撥分機 361。
utt008755	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt008756	不好意思,Wendy 剛離開,請問要留言給周經理嗎?
utt008757	請問是 Cindy 先生嗎?李組長要找您。
utt008758	系統顯示您的 Outlook 帳號需要更新,請聯絡技術部。
utt008759	您的快遞單號是 2423883824,預計明天送達。
utt008760	今天的會議改到下午 2 點,地點在 2 樓會議室。
utt008761	幫您轉接給 Oscar 陳主任,他的分機是 536。
utt008762	謝謝您的來電,祝您有美好的一天,再見。
utt008763	不好意思,Daniel 剛離開,請問要留言給周業務嗎?
utt008764	請問您的訂單編號是?方便提供一下嗎?編號是 803116。
utt008765	請問您是要報修 Line 群組 還是 Outlook?
utt008766	不好意思,Frank 剛離開,請問要留言給許經理嗎?
utt008767	請問您是要報修 VPN 還是 ERP 系統?
utt008768	不好意思,Victor 剛離開,請問要留言給蔡小姐嗎?
utt008769	Kevin 的 VPN 已經準備好,請到 3 樓領取。
utt008770	請問是 Rita 先生嗎?鄭先生要找您。
utt008771	Sam 目前正在開會,大約 20 分鐘後回來。
utt008772	請問您是要報修 AI 語音助理 還是 QR Code?
utt008773	請問您是要報修 Teams 會議 還是 Zoom 連結?
utt008774	系統顯示您的 Outlook 帳號需要更新,請聯絡法務部。
utt008775	您好,請問要預約 Ivy 顧問 的時間嗎?
utt008776	Joyce 黃課長 現在不在位子上,需要幫您留言嗎?
utt008777	系統顯示您的 OTP 驗證碼 帳號需要更新,請聯絡研發部。
utt008778	Sandra 的 API 介面 已經準備好,請到 11 樓領取。
utt008779	系統顯示您的 ERP 系統 帳號需要更新,請聯絡品保部。
utt008780	Jason 吳顧問 現在不在位子上,需要幫您留言嗎?
utt008781	請問您是要報修 OTP 驗證碼 還是 Line 群組?
utt008782	請問是 Jerry 先生嗎?洪助理要找您。
utt008783	今天的會議改到下午 1 點,地點在 7 樓會議室。
utt008784	系統顯示您的 ERP 系統 帳號需要更新,請聯絡品保部。
utt008785	麻煩您撥打 0980-409-823 聯絡 David 林先生,謝謝。
utt008786	幫您轉接給 Emily 李助理,他的分機是 394。
utt008787	您的快遞單號是 3111140849,預計明天送達。
utt008788	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt008789	麻煩您撥打 0971-811-746 聯絡 Jack 洪課長,謝謝。
utt008790	關於您的 Wi-Fi 問題,我幫您轉到人資部。
utt008791	請問您是要報修 Wi-Fi 還是 Server 主機?
utt008792	幫您轉接給 Kelly 王小姐,他的分機是 9558。
utt008793	我們已經把 USB 寄到您的信箱,請查收。
utt008794	謝謝您的來電,祝您有美好的一天,再見。
utt008795	您的快遞單號是 1706421293,預計明天送達。
utt008796	謝謝您的來電,祝您有美好的一天,再見。
utt008797	您好,這裡是台灣精密,很高興為您服務。
utt008798	麻煩您撥打 05-3535-3048 聯絡 Brian 蔡協理,謝謝。
utt008799	不好意思,Wendy 剛離開,請問要留言給葉主任嗎?
utt008800	今天的會議改到下午 2 點,地點在 4 樓會議室。
utt008801	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt008802	幫您轉接給 Catherine 呂顧問,請稍候。
utt008803	請問是 Henry 先生嗎?楊先生要找您。
utt008804	Frank 目前正在開會,大約 30 分鐘後回來。
utt008805	Sophia 郭助理 現在不在位子上,需要幫您留言嗎?
utt008806	您撥的分機 806 忙線中,請稍後再撥。
utt008807	關於您的 Line 群組 問題,我幫您轉到行銷部。
utt008808	Tony 目前正在開會,大約 39 分鐘後回來。
utt008809	我們已經把 CRM 系統 寄到您的信箱,請查收。
utt008810	Oscar 的 Wi-Fi 已經準備好,請到 1 樓領取。
utt008811	這是 聯華實業 的語音信箱,請在嗶聲後留言。
utt008812	請問您是要報修 Line 群組 還是 Zoom 連結?
utt008813	請問您是要報修 Teams 會議 還是 Excel 報表?
utt008814	系統顯示您的 API 介面 帳號需要更新,請聯絡人資部。
utt008815	關於您的 Server 主機 問題,我幫您轉到研發部。
utt008816	請問是 Jerry 先生嗎?李協理要找您。
utt008817	Michael 賴小姐 請您回電,電話是 04-2615-6845。
utt008818	我們已經把 QR Code 寄到您的信箱,請查收。
utt008819	您的CRM 系統設定已完成,如有問題請撥分機 3492。
utt008820	謝謝您的來電,祝您有美好的一天,再見。
utt008821	Kelly 的 QR Code 已經準備好,請到 8 樓領取。
utt008822	Brian 的 Line 群組 已經準備好,請到 6 樓領取。
utt008823	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt008824	Betty 蘇副理 現在不在位子上,需要幫您留言嗎?
utt008825	請問是 Tina 先生嗎?郭顧問要找您。
utt008826	Rita 的 AI 語音助理 已經準備好,請到 4 樓領取。
utt008827	Peter 的 AI 語音助理 已經準備好,請到 3 樓領取。
utt008828	您撥的分機 132 忙線中,請稍後再撥。
utt008829	關於您的 ERP 系統 問題,我幫您轉到研發部。
utt008830	請問是 Ivy 先生嗎?賴經理要找您。
utt008831	幫您轉接給 Betty 鄭襄理,請稍候。
utt008832	不好意思,Grace 剛離開,請問要留言給江小姐嗎?
utt008833	我們已經把 API 介面 寄到您的信箱,請查收。
utt008834	我們已經把 AI 語音助理 寄到您的信箱,請查收。
utt008835	Catherine 的 ERP 系統 已經準備好,請到 12 樓領取。
utt008836	謝謝您的來電,祝您有美好的一天,再見。
utt008837	幫您轉接給 Emily 許主任,請稍候。
utt008838	謝謝您的來電,祝您有美好的一天,再見。
utt008839	這是 台灣精密 的語音信箱,請在嗶聲後留言。
utt008840	您撥的分機 4643 忙線中,請稍後再撥。
utt008841	請問您要找哪一位?是 Helen 還是 Sandra?
utt008842	請問您是要報修 API 介面 還是 CRM 系統?
utt008843	請問您要找哪一位?是 Wendy 還是 Tina?
utt008844	請問您的訂單編號是?方便提供一下嗎?編號是 586805。
utt008845	幫您轉接給 Steve 葉經理,請稍候。
utt008846	請問您是要報修 ERP 系統 還是 Zoom 連結?
utt008847	請問您是要報修 API 介面 還是 SSD 硬碟?
utt008848	系統顯示您的 Server 主機 帳號需要更新,請聯絡研發部。
utt008849	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt008850	Charlie 的 VPN 已經準備好,請到 1 樓領取。
utt008851	請問您的訂單編號是?方便提供一下嗎?編號是 244753。
utt008852	系統顯示您的 VPN 帳號需要更新,請聯絡行銷部。
utt008853	今天的會議改到下午 5 點,地點在 15 樓會議室。
utt008854	您好,技術部的 Alex 謝顧問 為您服務。
utt008855	幫您轉接給 Leo 李襄理,請稍候。
utt008856	您好,請問要預約 Kelly 協理 的時間嗎?
utt008857	謝謝您的來電,祝您有美好的一天,再見。
utt008858	您好,請問要預約 Henry 經理 的時間嗎?
utt008859	您撥的分機 125 忙線中,請稍後再撥。
utt008860	這是 宏達電子 的語音信箱,請在嗶聲後留言。
utt008861	麻煩您撥打 02-1904-8829 聯絡 Amy 謝業務,謝謝。
utt008862	今天的會議改到下午 4 點,地點在 16 樓會議室。
utt008863	請問您是要報修 Wi-Fi 還是 Zoom 連結?
utt008864	您好,這裡是聯華實業,很高興為您服務。
utt008865	您好,行銷部的 Charlie 莊組長 為您服務。
utt008866	您的快遞單號是 4503350957,預計明天送達。
utt008867	您好,請問要預約 Charlie 經理 的時間嗎?
utt008868	請問您的訂單編號是?方便提供一下嗎?編號是 157133。
utt008869	幫您轉接給 Charlie 賴專員,他的分機是 304。
utt008870	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt008871	Helen 目前正在開會,大約 8 分鐘後回來。
utt008872	請問您是要報修 PDF 報價單 還是 OTP 驗證碼?
utt008873	您撥的分機 819 忙線中,請稍後再撥。
utt008874	Sam 許專員 請您回電,電話是 04-7174-6125。
utt008875	請問是 Andy 先生嗎?洪顧問要找您。
utt008876	您好,這裡是聯華實業,很高興為您服務。
utt008877	幫您轉接給 Alex 王經理,他的分機是 9262。
utt008878	您撥的分機 9125 忙線中,請稍後再撥。
utt008879	請問是 Tony 先生嗎?林助理要找您。
utt008880	請問您是要報修 AI 語音助理 還是 email?
utt008881	Jack 的 Wi-Fi 已經準備好,請到 9 樓領取。
utt008882	您好,請問要預約 Frank 襄理 的時間嗎?
utt008883	您撥的分機 7711 忙線中,請稍後再撥。
utt008884	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt008885	您撥的分機 091 忙線中,請稍後再撥。
utt008886	這是 宏達電子 的語音信箱,請在嗶聲後留言。
utt008887	麻煩您撥打 0999-407-853 聯絡 Jerry 葉組長,謝謝。
utt008888	請問您是要報修 USB 還是 CRM 系統?
utt008889	關於您的 SSD 硬碟 問題,我幫您轉到研發部。
utt008890	Frank 陳助理 請您回電,電話是 05-9016-1160。
utt008891	您的快遞單號是 7211408412,預計明天送達。
utt008892	您的快遞單號是 4687419474,預計明天送達。
utt008893	您好,這裡是聯華實業,很高興為您服務。
utt008894	請問是 Victor 先生嗎?張助理要找您。
utt008895	您好,這裡是全球科技,很高興為您服務。
utt008896	您撥的分機 582 忙線中,請稍後再撥。
utt008897	您好,人資部的 Emily 張顧問 為您服務。
utt008898	您好,這裡是鼎新資訊,很高興為您服務。
utt008899	關於您的 QR Code 問題,我幫您轉到資訊部。
utt008900	系統顯示您的 Zoom 連結 帳號需要更新,請聯絡採購部。
utt008901	麻煩您撥打 0985-270-451 聯絡 Brian 賴助理,謝謝。
utt008902	麻煩您撥打 0932-499-355 聯絡 Frank 洪副理,謝謝。
utt008903	關於您的 PDF 報價單 問題,我幫您轉到總務部。
utt008904	您的SSD 硬碟設定已完成,如有問題請撥分機 6025。
utt008905	請問您是要報修 Line 群組 還是 Server 主機?
utt008906	您好,這裡是台灣精密,很高興為您服務。
utt008907	請問是 Daniel 先生嗎?吳專員要找您。
utt008908	Ivy 邱顧問 現在不在位子上,需要幫您留言嗎?
utt008909	您好,請問要預約 Tony 顧問 的時間嗎?
utt008910	我們已經把 AI 語音助理 寄到您的信箱,請查收。
utt008911	您的Wi-Fi設定已完成,如有問題請撥分機 4813。
utt008912	請問您要找哪一位?是 Steve 還是 Brian?
utt008913	不好意思,Daniel 剛離開,請問要留言給江小姐嗎?
utt008914	謝謝您的來電,祝您有美好的一天,再見。
utt008915	我們已經把 SSD 硬碟 寄到您的信箱,請查收。
utt008916	幫您轉接給 Wendy 楊顧問,請稍候。
utt008917	幫您轉接給 Charlie 葉襄理,請稍候。
